Transaction_ID,Investor_ID,Date,Fund_ID,Fund_Name,SIP_Amount,NAV,Units_Allocated
TXN000001,INV0001,2025-01-01,F002,Parag Parikh Flexi Cap Fund,20000,166.81,119.8969
TXN000002,INV0001,2025-02-01,F002,Parag Parikh Flexi Cap Fund,20000,94.04,212.6755
TXN000003,INV0001,2025-03-01,F002,Parag Parikh Flexi Cap Fund,20000,174.14,114.8501
TXN000004,INV0001,2025-04-01,F002,Parag Parikh Flexi Cap Fund,20000,173.0,115.6069
TXN000005,INV0001,2025-05-01,F002,Parag Parikh Flexi Cap Fund,20000,169.27,118.1544
TXN000006,INV0001,2025-06-01,F002,Parag Parikh Flexi Cap Fund,20000,91.72,218.0549
TXN000007,INV0001,2025-07-01,F002,Parag Parikh Flexi Cap Fund,20000,102.53,195.0649
TXN000008,INV0001,2025-08-01,F002,Parag Parikh Flexi Cap Fund,20000,63.27,316.1056
TXN000009,INV0001,2025-09-01,F002,Parag Parikh Flexi Cap Fund,20000,123.67,161.7207
TXN000010,INV0001,2025-10-01,F002,Parag Parikh Flexi Cap Fund,20000,86.55,231.0803
TXN000011,INV0001,2025-11-01,F002,Parag Parikh Flexi Cap Fund,20000,165.57,120.7948
TXN000012,INV0001,2025-12-01,F002,Parag Parikh Flexi Cap Fund,20000,161.08,124.1619
TXN000013,INV0002,2025-01-01,F002,Parag Parikh Flexi Cap Fund,10000,51.51,194.1371
TXN000014,INV0002,2025-02-01,F002,Parag Parikh Flexi Cap Fund,10000,159.4,62.7353
TXN000015,INV0002,2025-03-01,F002,Parag Parikh Flexi Cap Fund,10000,106.58,93.8262
TXN000016,INV0002,2025-04-01,F002,Parag Parikh Flexi Cap Fund,10000,40.11,249.3144
TXN000017,INV0002,2025-05-01,F002,Parag Parikh Flexi Cap Fund,10000,119.71,83.5352
TXN000018,INV0002,2025-06-01,F002,Parag Parikh Flexi Cap Fund,10000,59.3,168.6341
TXN000019,INV0002,2025-07-01,F002,Parag Parikh Flexi Cap Fund,10000,105.56,94.7329
TXN000020,INV0002,2025-08-01,F002,Parag Parikh Flexi Cap Fund,10000,165.46,60.4376
TXN000021,INV0002,2025-09-01,F002,Parag Parikh Flexi Cap Fund,10000,72.33,138.2552
TXN000022,INV0002,2025-10-01,F002,Parag Parikh Flexi Cap Fund,10000,170.2,58.7544
TXN000023,INV0002,2025-11-01,F002,Parag Parikh Flexi Cap Fund,10000,120.4,83.0565
TXN000024,INV0002,2025-12-01,F002,Parag Parikh Flexi Cap Fund,10000,175.73,56.9055
TXN000025,INV0003,2025-01-01,F002,Parag Parikh Flexi Cap Fund,20000,61.91,323.0496
TXN000026,INV0003,2025-02-01,F002,Parag Parikh Flexi Cap Fund,20000,108.37,184.5529
